Vmax_fold,0.1,0.25,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0
0.1,0.01699604442797848,0.00817488272513916,0.004394961838963604,0.0030065285635447847,0.0022849339356584815,0.0015439460018035853,0.0011658911825758065,0.0007826338917078135,0.0005890148607005662,0.0004721972007569443
0.25,0.03861835740011832,0.019441569690924046,0.010684709415684288,0.007371884017567096,0.0056280445580504735,0.0038209640209581346,0.002892422104303182,0.0019464764395932753,0.0014667951749050368,0.0011767963262954888
0.5,0.06557245790119998,0.03579165934954597,0.020404074663251365,0.014277429515459223,0.010982039634759145,0.00751448618946368,0.0057114722214172305,0.003859562026145186,0.0029145812676038755,0.0023413382791352072
0.75,0.08347140029710168,0.0494611106326285,0.029236743552764177,0.02074408758540134,0.016074617354038107,0.011084664084859391,0.008458961739518728,0.005739819732731751,0.004343601622319324,0.0034937522966764817
1.0,0.09490236287913345,0.06083092560283597,0.037256468231244386,0.026797951174900195,0.020917897666740758,0.014535474145153701,0.01113666002160282,0.007587803417759767,0.005754096559618089,0.004634163542684576
1.5,0.10633904813975469,0.07801440613349106,0.051127895218550025,0.03776509094765217,0.029902569573331896,0.021094308045670418,0.016289555219228927,0.011189119387896188,0.008520456556256982,0.006879472076199654
2.0,0.110534414248721,0.08964432487552831,0.06251317586009003,0.04736184817126682,0.03802331177723863,0.027220485340057058,0.021183503796801794,0.014667763577058074,0.011215524674475806,0.009078240162373042
3.0,0.11261375446788212,0.10263700886717134,0.0794555224321362,0.06308174106643265,0.05198613718124178,0.038284165094578014,0.030244871219945443,0.021273368277215703,0.016399009182495684,0.013339962393037853
4.0,0.11292082890510184,0.1083746413211969,0.09074143802631279,0.07506411575338393,0.06336738523433569,0.04792893234224633,0.038415584887852405,0.027435971498139686,0.021318553269310245,0.017426754783770433
5.0,0.11298845940017781,0.11089799113218667,0.0982269275944185,0.08417831441106116,0.07263383890602246,0.05633319907473957,0.045781727386224096,0.03318491934198668,0.025987471833709468,0.021345745603903125
