sim_time,dt_used,n1_gDW,n2_gDW,mu_ipsc,lp_status,ode_nsteps,ode_status,adp_pre_clamp,adp_post_clamp,atp_drift,adp_drift,n_vars_clamped,A_tot_conserved,max_rel_dS,stab_warn,stab_halt,t_dfba_s,t_ode_s,t_update_s,t_step_wall,S_lac,dS_lac,stab_lac,S_nh4,dS_nh4,stab_nh4,S_arg,dS_arg,stab_arg,S_glc,dS_glc,stab_glc,S_gln,dS_gln,stab_gln,val_atp,val_adp,val_accoa,val_arg_c,val_Ptot,val_n_atp_eff,val_n1_gDW,val_n2_gDW,conv_all,conv_n_ok,conv_lac,conv_nh4,conv_arg,conv_glc,conv_gln,conv_atp,conv_adp,conv_accoa,conv_arg_c,conv_Ptot,conv_n_atp_eff,conv_n1_gDW,conv_n2_gDW
0.1,0.1,0.354530650177738,45,0.0748204109112251,optimal,89,success,0.0002789098176369467,0.00027890981764322476,0.0,6.2780726797773134e-15,0,True,0.17735455335827055,True,False,0.9038454000256024,0.031757400021888316,2.47000134550035e-05,0.9356709999847226,0.5886772766791353,0.08867727667913528,0.17735455335827055,0.32143241142368123,0.01143241142368122,0.036878746528003936,0.4992693750463049,-0.0007306249536950651,0.0014612499073901302,11.505463672,-0.061536328,0.005319990317281923,3.3203155108261604,-0.012684489173839898,0.0038057273248844575,10.159721090182357,0.00027890981764322476,0.15913821217869606,0.013387707722265479,39988.007517460566,9.997000449955005,0.354530650177738,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.2,0.1,0.35683290874747,45,0.07472826950659588,optimal,28,success,0.00023875905328803125,0.000238759053290849,0.0,2.8177601311268896e-15,0,True,0.14934270111748643,True,False,0.9191078000003472,0.009911299974191934,1.850002445280552e-05,0.9290552000165917,0.6765919312648833,0.08791465458574796,0.14934270111748643,0.33267029791098945,0.011237886487308226,0.03496189583848633,0.49854442291228146,-0.0007249521340234582,0.0014520260409648044,11.444406616719428,-0.06105705528057164,0.005306787889753779,3.3076277617693823,-0.012687749056777907,0.0038212480155601068,10.15976124094671,0.000238759053290849,0.26439540329750977,0.019422826206296807,39976.01863219541,9.994001799640051,0.35683290874747,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.30000000000000004,0.1,0.3591468369870671,45,0.07463692051546343,optimal,27,success,0.0002227266078459691,0.00022272660784494747,0.0,1.0216437071330908e-15,0,True,0.1288380046720586,True,False,0.915671199967619,0.009890299988910556,1.4499993994832039e-05,0.9255892999935895,0.7637626856662655,0.0871707544013822,0.1288380046720586,0.34375631375958154,0.011086015848592097,0.03332433318576074,0.4978258209635138,-0.0007186019487676707,0.0014414000352664825,11.383823157419005,-0.060583459300422804,0.005293717824733252,3.294936161133945,-0.012691600635437134,0.003837070417091883,10.159777273392155,0.00022272660784494747,0.3670377203897522,0.027506072920909768,39964.03334305704,9.991004048785273,0.3591468369870671,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.4,0.1,0.36147249609849125,45,0.07454634448455812,optimal,26,success,0.00021454246646036284,0.00021454246646079866,0.0,4.3582216828486064e-16,0,True,0.11317895704871307,True,False,0.9055319000035524,0.008758999989368021,1.4999997802078724e-05,0.9143203999847174,0.8502045498626974,0.086441864196432,0.11317895704871307,0.3547185605107083,0.01096224675112679,0.03188958664129042,0.4971140969450557,-0.0007117240184580694,0.0014296647310912233,11.323707701511061,-0.060115455907943746,0.005280779143935104,3.282240114066624,-0.012696047067321158,0.0038531997120550706,10.15978545753354,0.00021454246646079866,0.46756826305199883,0.03726246005743017,39952.05164896644,9.988007197120863,0.36147249609849125,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5,0.1,0.36380994733276784,45,0.0744565258175432,optimal,25,success,0.0002098476936984604,0.00020984769369647438,0.0,1.986014434504635e-15,0,True,0.1008295912930423,True,False,0.9063716999953613,0.008942399988882244,1.5199999324977398e-05,0.915343800035771,0.9359303271408382,0.08572577727814078,0.1008295912930423,0.3655768380107438,0.010858277500035466,0.03061096516743356,0.4964096764235889,-0.000704420521466798,0.0014170198065106474,11.26405472965493,-0.059652971856132116,0.00526797171284913,3.26953902440799,-0.012701089658634304,0.0038696406165415883,10.159790152306304,0.00020984769369647438,0.5662934889565908,0.04844030949526025,39940.07354884512,9.985011244377105,0.36380994733276784,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.6,0.1,0.3661592520628492,45,0.07436745121097943,optimal,25,success,0.00020699159868241754,0.00020699159868442507,0.0,2.007535847628472e-15,0,True,0.09084125345184146,False,False,1.031995800032746,0.008337699982803315,1.5099998563528061e-05,1.0403646999620833,1.020951411201904,0.08502108406106579,0.09084125345184146,0.37634581392971117,0.010768975918967374,0.02945748964175594,0.49571291103428755,-0.0006967653893013355,0.0014036096039086517,11.204858789189952,-0.05919594046497778,0.005255295884627793,3.2568322957538993,-0.012706728654090641,0.003886397611171327,10.159793008401316,0.00020699159868442507,0.6634211866458476,0.0608608379958054,39928.09904161496,9.982016190284364,0.3661592520628492,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.7,0.1,0.36852047182899184,45,0.07427910882607662,optimal,25,success,0.00020521544642248293,0.00020521544641916023,0.0,3.322700187907701e-15,0,True,0.0825963204790745,False,False,0.9246947999927215,0.008712700044270605,1.6199948731809855e-05,0.9334367000265047,1.1052782411550999,0.08432682995319583,0.0825963204790745,0.3870367915593793,0.010690977629668134,0.028407324418028075,0.4950240965173583,-0.0006888145169292704,0.0013895432247106156,11.146114489867001,-0.058744299322950375,0.005242752312025992,3.244119332099355,-0.012712963654544355,0.0039034750641348355,10.159794784553581,0.00020521544641916023,0.7591011939709595,0.07439146930558377,39916.12812619823,9.97902203457309,0.36852047182899184,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.7999999999999999,0.1,0.3708936683685113,45,0.07419148781592866,optimal,24,success,0.00020412349287368383,0.00020412349287290965,0.0,7.741745612632744e-16,0,True,0.07567536641005783,False,False,0.941026599961333,0.008178400050383061,1.569994492456317e-05,0.94923430000199,1.1889205770395763,0.08364233588447645,0.07567536641005783,0.39765876580186676,0.010621974242487472,0.027444352769904163,0.4943434848571756,-0.0006806116601826917,0.001374906120673715,11.08781650089316,-0.05829798897384116,0.00523034184036421,3.231399538243256,-0.0127197938560993,0.003920877302583067,10.159795876507127,0.00020412349287290965,0.8534462830657892,0.08893049090393945,39904.16080151753,9.976028776973807,0.3708936683685113,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.8999999999999999,0.1,0.37327890363612093,45,0.07410457803922496,optimal,24,success,0.00020348997360095648,0.00020348997360031262,0.0,6.438534601305168e-16,0,True,0.06978354939425835,False,False,0.911678500007838,0.008390000031795353,1.5199999324977398e-05,0.9200973999686539,1.2718876748532677,0.08296709781369141,0.06978354939425835,0.40821908838581755,0.010560322583950807,0.02655624241717956,0.493671292799985,-0.0006721920571905858,0.0013597672019179006,11.029959548772524,-0.05785695212063534,0.005218065442909771,3.2186723200494893,-0.012727218193766468,0.003938608656447849,10.1597965100264,0.00020348997360031262,0.9465441342398871,0.10439767466148654,39892.19706649577,9.973036417217122,0.37327890363612093,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
0.9999999999999999,0.1,0.3756762398183202,45,0.07401836987838746,optimal,24,success,0.00020317713110194673,0.00020317713110884483,0.0,6.898100797167461e-15,0,True,0.06470754377411893,False,False,0.9152290999772958,0.008161799982190132,1.610000617802143e-05,0.9234202000079677,1.3541884022495978,0.08230072739633015,0.06470754377411893,0.4187239052360395,0.010504816850221905,0.02573328183098962,0.49300770803795285,-0.0006635847620321644,0.0013441834105209379,10.972538415653563,-0.05742113311896008,0.005205924179962221,3.2059370846160844,-0.012735235433405118,0.003956673487411513,10.159796822868891,0.00020317713110884483,1.038464713563821,0.12072825947951357,39880.23692005622,9.97004495503372,0.3756762398183202,45,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0999999999999999,0.1,0.37808573934387363,45,0.07393285411935346,optimal,24,success,0.00020309638580294143,0.00020309638580151557,0.0,1.425861382089999e-15,0,True,0.060289185199370314,False,False,0.9634190000360832,0.008888799988199025,1.5700003132224083e-05,0.9723372999578714,1.4358313176276631,0.08164291537806538,0.060289185199370314,0.42917845438102065,0.010454549144981153,0.02496764339042884,0.49235289382923914,-0.0006548142087137013,0.0013282027806820662,10.915547938012017,-0.05699047764154637,0.005193919171906751,3.1931932403843537,-0.0127438442317305,0.003975076208726221,10.159796903614199,0.00020309638580151557,1.129265061773912,0.1378689360627654,39868.28036112245,9.967054390154372,0.37808573934387363,45,False,5,False,False,False,False,False,True,True,False,False,True,True,False,True
1.2,0.1,0.38050746489163473,45,0.07384802186939408,optimal,24,success,0.00020318833344020647,0.0002031883334403517,0.0,1.4522888100443332e-16,0,True,0.05640872096903804,False,False,0.9326721999677829,0.008366900030523539,1.6000005416572094e-05,0.9410683999885805,1.5168247257823282,0.08099340815466508,0.05640872096903804,0.4395872750054408,0.010408820624420178,0.024252896477369116,0.4917069925351115,-0.0006459012941276387,0.0013118665538942769,10.858983005563784,-0.05656493244823306,0.005182051580869599,3.180440197207308,-0.012753043177045684,0.003993821299556128,10.15979681166656,0.0002031883334403517,1.2189925307859553,0.15577507855041997,39856.327388618374,9.964064722309926,0.38050746489163473,45,False,5,False,False,False,False,False,True,True,False,False,True,True,False,True
1.3,0.1,0.38294147939651774,45,0.07376386449929269,optimal,23,success,0.00020341173707936612,0.00020341173707727478,0.0,2.0913446755616016e-15,0,True,0.05297381491213957,False,False,0.9228595999884419,0.007923400029540062,1.5300000086426735e-05,0.9308120000059716,1.5971767180600782,0.08035199227774992,0.05297381491213957,0.4499543579383785,0.01036708293293771,0.023583673874111564,0.4910701283861001,-0.0006368641490114278,0.0012952106817271892,10.80283856034021,-0.05614444522357527,0.005170322597872076,3.1676773663892845,-0.012762830818023606,0.004012913315971304,10.159796588262923,0.00020341173707727478,1.3076870435360732,0.17440878212005037,39844.37800146821,9.96107595123131,0.38294147939651774,45,False,5,False,False,False,False,False,True,True,False,False,True,True,False,True
1.4000000000000001,0.1,0.3853878460541443,45,0.07368037360161867,optimal,23,success,0.00020373713418930952,0.00020373713418919692,0.0,1.1259439561261964e-16,0,True,0.04991212495456367,False,False,0.9065957000129856,0.008198799972888082,1.8000020645558834e-05,0.9148271000012755,1.6768952019864127,0.07971848392633454,0.04991212495456367,0.46028325640485684,0.01032889846647834,0.022955435999783978,0.49044240968605524,-0.0006277187000448797,0.0012782669190404118,10.747109595881051,-0.05572896445915766,0.0051587334336136385,3.154904160705377,-0.012773205683907406,0.004032356899549748,10.159796262865811,0.00020373713418919692,1.395382715257039,0.19373743833090357,39832.43219859652,9.95808807664954,0.3853878460541443,45,False,5,False,False,False,False,False,True,True,False,False,True,True,False,True
1.5000000000000002,0.1,0.3878466283245244,45,0.07359754095994298,optimal,23,success,0.00020414295452681004,0.00020414295452475528,0.0,2.054752852240216e-15,0,True,0.04716616845487916,False,False,1.0023067999863997,0.008489199972245842,1.5300000086426735e-05,1.0108255000086501,1.7559879235644824,0.07909272157806975,0.04716616845487916,0.4705771691284996,0.010293912723642764,0.02236429976629092,0.4898239305977727,-0.0006184790882825548,0.0012610636357456508,10.691791156514752,-0.055318439366299516,0.005147285311717759,3.142119994406102,-0.012784166299275097,0.004052156784508091,10.159795857045475,0.00020414295452475528,1.482109043761893,0.21373267914808602,39820.48997892818,9.955101098295701,0.3878466283245244,45,False,5,False,False,False,False,False,True,True,False,False,True,True,False,True
